Timestamp,Generation,Iteration_in_Gen,Total_Iteration,Cost,Via_1_3_pitch,Via_1_3_antipad_diameter,Via_3_5_pitch,Via_3_5_antipad_diameter,Via_5_6_pitch,Via_5_6_antipad_diameter,Via_6_8_pitch,Via_6_8_antipad_diameter,Via_8_10_pitch,Via_8_10_antipad_diameter,BGA_antipad_diameter,Cu8_trace_gap,Cu8_trace_width,Cu1_trace_gap,Cu1_trace_width
2025-08-07 19:50:35,2,7,27,3.472464,0.158606,0.250000,0.262692,0.300000,0.406306,0.320000,0.210000,0.269832,0.203978,0.220000,0.467160,0.040000,0.035000,0.040000,0.035000
2025-08-07 19:52:44,2,8,28,3.351060,0.218934,0.250000,0.262692,0.300000,0.450000,0.376258,0.210000,0.254707,0.280000,0.220000,0.450000,0.040000,0.034606,0.040000,0.035000
2025-08-07 19:54:55,2,9,29,3.158227,0.213387,0.250000,0.272044,0.291287,0.450000,0.376258,0.210064,0.254707,0.280000,0.220000,0.450000,0.040000,0.034853,0.040000,0.035000
2025-08-07 19:57:14,2,10,30,2.470972,0.218934,0.250000,0.277881,0.290845,0.450000,0.362288,0.210080,0.259666,0.212021,0.220000,0.450000,0.040000,0.034809,0.040000,0.034911
2025-08-07 19:59:30,2,11,31,2.244779,0.218934,0.250000,0.279315,0.293475,0.450000,0.365299,0.210000,0.256340,0.203978,0.220000,0.450000,0.040000,0.034812,0.040000,0.035000
2025-08-07 20:01:42,2,12,32,2.178117,0.218289,0.250000,0.279315,0.294626,0.449556,0.366749,0.210000,0.254707,0.203978,0.220000,0.450000,0.040000,0.034816,0.040000,0.035000
2025-08-07 20:03:45,2,13,33,4.028064,0.150000,0.243224,0.279315,0.244695,0.397180,0.373614,0.210000,0.254707,0.203978,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 20:05:53,2,14,34,1.999513,0.218934,0.250000,0.279315,0.300000,0.450000,0.373214,0.210000,0.254707,0.205473,0.220000,0.450000,0.040000,0.034711,0.040000,0.035000
2025-08-07 20:08:06,2,15,35,2.028231,0.218934,0.250000,0.279315,0.300000,0.450000,0.376258,0.210000,0.254707,0.203978,0.220000,0.450000,0.040000,0.034606,0.040000,0.035000
2025-08-07 20:10:45,2,16,36,2.345312,0.218934,0.250000,0.279315,0.300000,0.450000,0.376258,0.220084,0.300000,0.203978,0.220000,0.633832,0.040000,0.034606,0.040000,0.035000
